
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,54.0,48.0,80,29.90,10.0,WSW,4.6,-,N/A,,Partly Cloudy,240,2016-06-08 05:51:00<br />
1:51 AM,54.0,48.0,80,29.91,10.0,SW,4.6,-,N/A,,Partly Cloudy,230,2016-06-08 06:51:00<br />
2:51 AM,53.1,46.9,80,29.92,10.0,West,5.8,-,N/A,,Clear,270,2016-06-08 07:51:00<br />
3:51 AM,52.0,46.0,80,29.92,10.0,West,6.9,-,N/A,,Clear,260,2016-06-08 08:51:00<br />
4:51 AM,53.1,46.0,77,29.95,10.0,WNW,6.9,-,N/A,,Partly Cloudy,300,2016-06-08 09:51:00<br />
5:51 AM,53.1,46.0,77,29.97,10.0,WNW,6.9,-,N/A,,Partly Cloudy,290,2016-06-08 10:51:00<br />
6:51 AM,57.0,46.9,69,29.99,10.0,NNW,5.8,-,N/A,,Partly Cloudy,330,2016-06-08 11:51:00<br />
7:51 AM,61.0,46.0,58,30.00,10.0,North,5.8,-,N/A,,Partly Cloudy,350,2016-06-08 12:51:00<br />
8:51 AM,63.0,45.0,52,30.01,10.0,NNE,5.8,-,N/A,,Partly Cloudy,30,2016-06-08 13:51:00<br />
9:51 AM,64.0,45.0,50,30.01,10.0,ENE,9.2,-,N/A,,Partly Cloudy,70,2016-06-08 14:51:00<br />
10:51 AM,64.9,46.9,52,30.02,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2016-06-08 15:51:00<br />
11:51 AM,66.9,48.0,51,30.02,10.0,ENE,8.1,-,N/A,,Scattered Clouds,70,2016-06-08 16:51:00<br />
12:51 PM,69.1,48.9,49,30.01,10.0,NNE,4.6,-,N/A,,Mostly Cloudy,30,2016-06-08 17:51:00<br />
1:51 PM,68.0,52.0,56,30.01,10.0,ENE,10.4,-,N/A,,Mostly Cloudy,70,2016-06-08 18:51:00<br />
2:51 PM,68.0,52.0,56,30.01,10.0,ENE,8.1,-,N/A,,Mostly Cloudy,70,2016-06-08 19:51:00<br />
3:51 PM,68.0,51.1,55,30.01,10.0,ENE,11.5,-,N/A,,Mostly Cloudy,60,2016-06-08 20:51:00<br />
4:51 PM,66.9,48.9,52,30.00,10.0,East,10.4,-,N/A,,Mostly Cloudy,100,2016-06-08 21:51:00<br />
5:51 PM,64.9,46.9,52,30.00,10.0,East,10.4,-,N/A,,Scattered Clouds,80,2016-06-08 22:51:00<br />
6:51 PM,62.1,43.0,50,30.00,10.0,ENE,9.2,-,N/A,,Scattered Clouds,70,2016-06-08 23:51:00<br />
7:51 PM,59.0,44.1,58,30.01,10.0,East,10.4,-,N/A,,Scattered Clouds,80,2016-06-09 00:51:00<br />
8:51 PM,57.0,44.1,62,30.01,10.0,East,8.1,-,N/A,,Scattered Clouds,90,2016-06-09 01:51:00<br />
9:51 PM,57.0,44.1,62,30.01,10.0,East,6.9,-,N/A,,Mostly Cloudy,100,2016-06-09 02:51:00<br />
10:51 PM,57.0,44.1,62,30.01,10.0,East,6.9,-,N/A,,Scattered Clouds,100,2016-06-09 03:51:00<br />
11:51 PM,57.0,45.0,64,30.01,10.0,East,5.8,-,N/A,,Scattered Clouds,90,2016-06-09 04:51:00<br />
